ID,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_HOUSING_TYPE,FLAG_MOBIL,OCCUPATION_TYPE,NO_RISK_MONTHS,LOW_RISK_MONTHS,MEDIUM_RISK_MONTHS,HIGH_RISK_MONTHS,CRITICAL_RISK_MONTHS,AGE_YEARS,YEARS_EMPLOYED,CREDIT_APPROVAL
5008804,1,1,427500.0,Working,Rented apartment,1,,14,1,1,0,0,32,12,1
5008805,1,1,427500.0,Working,Rented apartment,1,,13,1,1,0,0,32,12,1
5008806,1,1,112500.0,Working,House,1,Security staff,23,7,0,0,0,58,3,1
5008808,0,1,270000.0,Commercial associate,House,1,Sales staff,3,2,0,0,0,52,8,1
5008809,0,1,270000.0,Commercial associate,House,1,Sales staff,5,0,0,0,0,52,8,1
5008810,0,1,270000.0,Commercial associate,House,1,Sales staff,21,6,0,0,0,52,8,1
5008811,0,1,270000.0,Commercial associate,House,1,Sales staff,33,6,0,0,0,52,8,1
5008812,0,1,283500.0,Pensioner,House,1,,3,14,0,0,0,61,0,1
5008813,0,1,283500.0,Pensioner,House,1,,3,14,0,0,0,61,0,1
5008814,0,1,283500.0,Pensioner,House,1,,3,14,0,0,0,61,0,1
5008815,1,1,270000.0,Working,House,1,Accountants,0,6,0,0,0,46,2,1
5112956,1,1,270000.0,Working,House,1,Accountants,8,35,0,0,0,46,2,1
5008819,1,1,135000.0,Commercial associate,House,1,Laborers,8,0,0,0,0,48,3,1
5008820,1,1,135000.0,Commercial associate,House,1,Laborers,8,1,0,0,0,48,3,1
5008821,1,1,135000.0,Commercial associate,House,1,Laborers,3,6,0,0,0,48,3,1
5008822,1,1,135000.0,Commercial associate,House,1,Laborers,8,1,0,0,0,48,3,1
5008823,1,1,135000.0,Commercial associate,House,1,Laborers,1,4,0,0,0,48,3,1
5008824,1,1,135000.0,Commercial associate,House,1,Laborers,0,4,0,0,0,48,3,1
5008825,1,0,130500.0,Working,House,1,Accountants,0,25,1,0,0,29,3,1
5008826,1,0,130500.0,Working,House,1,Accountants,18,5,7,0,0,29,3,0
5008830,0,1,157500.0,Working,House,1,Laborers,17,13,2,0,0,27,4,1
5008831,0,1,157500.0,Working,House,1,Laborers,5,13,2,0,0,27,4,1
5008832,0,1,157500.0,Working,House,1,Laborers,20,13,2,0,0,27,4,1
5008834,0,1,112500.0,Working,House,1,,40,5,0,0,0,30,4,1
5008835,0,1,112500.0,Working,House,1,,14,3,0,0,0,30,4,1
5008836,1,1,270000.0,Working,House,1,Laborers,16,1,0,0,0,34,3,1
5008837,1,1,270000.0,Working,House,1,Laborers,16,1,0,0,0,34,3,1
5008838,0,1,405000.0,Commercial associate,House,1,Managers,2,29,0,0,0,32,5,1
5008839,0,1,405000.0,Commercial associate,House,1,Managers,4,10,0,0,0,32,5,1
5008840,0,1,405000.0,Commercial associate,House,1,Managers,46,10,0,0,0,32,5,1
5008841,0,1,405000.0,Commercial associate,House,1,Managers,1,4,0,0,0,32,5,1
5008842,0,1,405000.0,Commercial associate,House,1,Managers,0,9,0,0,0,32,5,1
5008843,0,1,405000.0,Commercial associate,House,1,Managers,20,10,0,0,0,32,5,1
5008844,1,1,112500.0,Commercial associate,House,1,Drivers,7,26,0,0,0,56,12,1
5008846,1,1,112500.0,Commercial associate,House,1,Drivers,0,12,0,0,0,56,12,1
5008847,1,1,112500.0,Commercial associate,House,1,Drivers,7,26,0,0,0,56,12,1
5008849,1,1,112500.0,Commercial associate,House,1,Drivers,7,5,0,0,0,56,12,1
5008850,1,1,112500.0,Commercial associate,House,1,Drivers,0,26,0,0,0,56,12,1
5008851,1,1,112500.0,Commercial associate,House,1,Drivers,0,12,0,0,0,56,12,1
5008852,1,1,112500.0,Commercial associate,House,1,Drivers,0,1,0,0,0,56,12,1
5008853,1,1,112500.0,Commercial associate,House,1,Drivers,5,11,0,0,0,56,12,1
5008854,1,1,135000.0,Working,House,1,Laborers,0,2,0,0,0,43,8,1
5008855,1,1,135000.0,Working,House,1,Laborers,23,6,0,0,0,43,8,1
5008856,1,1,135000.0,Working,House,1,Laborers,0,4,0,0,0,43,8,1
5008857,1,1,135000.0,Working,House,1,Laborers,28,0,0,0,0,43,8,1
5008858,1,1,135000.0,Working,House,1,Laborers,1,10,0,0,0,43,8,1
5008859,1,1,135000.0,Working,House,1,Laborers,0,5,0,0,0,43,8,1
5008860,1,1,135000.0,Working,House,1,Laborers,1,3,0,0,0,43,8,1
5008861,1,1,135000.0,Working,House,1,Laborers,1,3,0,0,0,43,8,1
5008862,1,1,135000.0,Working,House,1,Laborers,1,2,0,0,0,43,8,1
5008863,1,1,135000.0,Working,House,1,Laborers,0,2,0,0,0,43,8,1
5008864,1,1,135000.0,Working,House,1,Laborers,1,2,0,0,0,43,8,1
5008865,1,1,135000.0,Working,House,1,Laborers,0,2,0,0,0,43,8,1
5008866,1,1,135000.0,Working,House,1,Laborers,0,2,0,0,0,43,8,1
5008867,1,1,135000.0,Working,House,1,Laborers,2,2,0,0,0,43,8,1
5112846,1,1,135000.0,Working,House,1,Laborers,4,0,0,0,0,43,8,1
5008868,0,1,211500.0,State servant,House,1,Core staff,0,25,0,0,0,44,19,1
5008870,0,1,211500.0,State servant,House,1,Core staff,0,12,0,0,0,44,19,1
5008872,1,1,360000.0,Commercial associate,House,1,Security staff,2,8,1,0,0,45,14,1
5008873,0,1,126000.0,Commercial associate,House,1,Managers,16,6,0,0,0,34,4,1
5008874,0,1,126000.0,Commercial associate,House,1,Managers,40,6,0,0,0,34,4,1
5008875,0,1,126000.0,Commercial associate,House,1,Managers,31,9,0,0,0,34,4,1
5008876,0,1,126000.0,Commercial associate,House,1,Managers,41,3,0,0,0,34,4,1
5008877,0,1,126000.0,Commercial associate,House,1,Managers,2,6,0,0,0,34,4,1
5008878,0,1,126000.0,Commercial associate,House,1,Managers,0,9,3,0,0,34,4,0
5008879,0,1,126000.0,Commercial associate,House,1,Managers,16,6,0,0,0,34,4,1
5008880,0,1,126000.0,Commercial associate,House,1,Managers,5,6,0,0,0,34,4,1
5008881,0,1,126000.0,Commercial associate,House,1,Managers,14,6,0,0,0,34,4,1
5008882,0,1,126000.0,Commercial associate,House,1,Managers,31,9,0,0,0,34,4,1
5008884,0,1,315000.0,Pensioner,House,1,,37,4,0,0,0,55,0,1
5008888,0,1,247500.0,Commercial associate,Rented apartment,1,Core staff,2,4,0,0,0,46,3,1
5008889,0,1,247500.0,Commercial associate,Rented apartment,1,Core staff,2,3,0,0,0,46,3,1
5008890,0,1,247500.0,Commercial associate,Rented apartment,1,Core staff,2,4,0,0,0,46,3,1
5112847,0,1,247500.0,Commercial associate,Rented apartment,1,Core staff,2,4,0,0,0,46,3,1
5008891,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,7,1,0,0,0,42,8,1
5008892,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008893,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,37,0,0,0,0,42,8,1
5008894,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,37,0,0,0,0,42,8,1
5008895,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,35,0,0,0,0,42,8,1
5008896,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008897,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008898,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,21,0,0,0,0,42,8,1
5008899,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008900,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,21,0,0,0,0,42,8,1
5008901,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008902,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,10,10,1,0,0,42,8,1
5008903,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008904,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,10,10,1,0,0,42,8,1
5008905,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008906,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,10,10,1,0,0,42,8,1
5008907,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008908,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,10,10,1,0,0,42,8,1
5008909,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008910,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,10,10,1,0,0,42,8,1
5008911,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008912,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,10,10,1,0,0,42,8,1
5008913,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008914,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,8,10,1,0,0,42,8,1
5008915,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008916,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,7,10,1,0,0,42,8,1
5008917,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008918,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,6,10,1,0,0,42,8,1
5008919,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,15,1,0,0,0,42,8,1
5008920,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,5,10,1,0,0,42,8,1
5008921,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,13,1,0,0,0,42,8,1
5008922,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,3,10,1,0,0,42,8,1
5008923,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,12,1,0,0,0,42,8,1
5008924,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,13,0,0,0,0,42,8,1
5008925,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,12,1,0,0,0,42,8,1
5008926,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,1,10,1,0,0,42,8,1
5008927,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,9,1,0,0,0,42,8,1
5008928,0,1,297000.0,Commercial associate,Rented apartment,1,Laborers,1,8,1,0,0,42,8,1
